Material-ID,Chemical_Formula,Temp_critical
S-13571,Al0.04V0.96,3.31
S-9353,Al0.053Ti0.947,0.7
S-5276,Al0.0563Au0.92In0.0237,0.0609
S-5625,Al0.05Au0.92In0.03,0.0672
S-4222,Al0.05Au0.95,0.0138
S-5966,Nb3Al0.05Sn0.95,18.1
S-7713,Al0.06Au0.92Ga0.02,0.09
S-3372,Al0.06Au0.92In0.02,0.0619
S-11117,Al0.06V0.94,2.83
S-8338,Al0.07Au0.92In0.01,0.0763
S-64,Al0.08Au0.92,0.088
S-8303,Al0.08V0.92,2.36
S-10655,Al0.102Ti0.898,0.73
S-10344,Al0.108V0.892,1.82
S-14865,Al0.12V0.88,1.73
S-12792,Al0.131Cr0.088V0.781,1.46
S-10279,Al0.14Au0.86,0.385
S-15998,Al0.152Sn0.848,3.68
S-1982,Al0.175Nb0.775Zr0.05,10
S-15414,Al0.18La0.82,4.65
S-16120,Al0.1Be0.9,7.2
S-1823,Al0.1Fe0.9Se0.85,8.5
S-1835,Al0.1Ga0.9V3,13.9
S-10730,Al0.1V0.9,1.96
S-10876,Al0.215Nb0.785,17.97
S-508,Al0.22La0.78,4.3
S-11378,Al0.22Nb0.75Si0.3,19.2
S-3443,Al0.23Nb0.75Zr0.013,18.3
S-2294,Al0.245Nb0.725,18.4
S-152,Al0.25Fe0.75Se0.85,8.5
S-1862,Al1La3,5.48
S-830,Al0.27La0.73,3.82
S-10951,Al0.28Mg0.18,1.63
S-10538,Al0.2B5Mo1.8,5.7
S-10041,Al0.2La0.8,4.43
S-15069,Al0.32La0.68,3.23
S-946,Al0.33Ge0.67,1.75
S-4158,Al0.33Nb0.67,13.5
S-10544,Al0.39Mg0.61,1.5
S-347,Al0.3Be0.7,6.5
S-6958,Al0.3Ga0.7V3,13.9
S-14025,Al0.5Ga0.5V3,12.9
S-14454,Al0.5Ge0.5Nb1,12.6
S-9489,Al0.5Ge0.5Th2,0.21
S-822,Al0.5Mo5S6Sn1,14.2
S-2561,Nb3Al0.5Sn0.5,16.06
S-4470,Al0.61Mg0.39,0.85
S-11584,Al0.66Ge0.22Nb3.1,20.29
S-6853,Al0.72Nb3.28,6.2
S-678,Al0.75Ge0.25Nb0.003,20.7
S-87,Al0.75Ge0.25Nb3.8,20.34
S-5522,Al0.77Ge0.23Nb3,20.75
S-3835,Al0.95B0.05Nb3,19.1
S-4969,Al0.95Be0.05Nb3,19.7
S-9249,Al0.95Li0.05,1.13
S-11763,Al0.95Nb3Sb0.5,17.81
S-16105,Al0.964Ge0.036,2.74
S-15431,Al0.97Li0.03,1.05
S-11846,Al0.992Zn0.008,1.132
S-12699,Al0.997Er0.003,1.658
S-14368,Al0.998Mn0.002,0.262
S-143,Al0.999Fe0.001,1.5
S-3906,Al0.999Mn0.001,0.596
S-1842,Al0.99Li0.01,1.07
S-12174,Al0.9As0.05Ga0.05Nb3,19.2
S-4256,Nb0.75Al0.225Ga0.025,18.43
S-3215,Al0.9Ge0.1,6.45
S-4998,Al0.9Li0.1,1.29
S-4842,Al0.9Nb3Sb0.1,18.06
S-4654,Al1,1.25
S-742,Al13Os3.2Ru0.8,4
S-2081,Al13Os4,5.4
S-5118,Al1Au4,0.55
S-10412,Al1Ce0.0165La3,1.45
S-3886,Al1Ce0.017La3,0.77
S-15557,Al1Ce0.01La3,3.92
S-12725,Al1Cr0.3Nb2.7,14.1
S-10360,Al1Cu1,3.45
S-7586,Al1Gd0.001La3,5.6
S-2143,Al1Gd0.003La3,4.58
S-7797,Al1Gd0.0065La3,2.79
S-4194,Al1Ge1,5.5
S-12292,Al1Ge1Nb3,19.5
S-4988,Al1Ge2,1.75
S-15162,Al1Mo3,0.58
S-2509,Al1Mo6Pd1,2.1
S-15124,Al1N1,1.55
S-12946,Al1Nb1Sn1,17.45
S-10697,Al1Nb2.1V0.9,12.5
S-15596,Al1Nb2.7V0.3,15.4
S-6044,Al1Nb2Ni1,4.2
S-466,Nb3Al1,16.79
S-9558,Al1Os1,0.39
S-2835,Al1Pb1,1.2
S-3958,Al1Sb1,2.8
S-1941,Al1Sc1Au2,4.4
S-5304,Al1Sr2Ca1.4Y0.6Cu3O9.1,14
S-9822,Al1Sr2Ca2Cu3O10.1,76
S-2245,Al1Sr2Ca2Cu3O9.3,63
S-4105,Al1Sr2Ca2Cu3O9.5,69
S-1192,Al1Sr2Ca2Cu3O9.7,72
S-16299,Al1Sr2Ca2Cu3O9.9,77
S-13399,Al1Sr2Ho0.4Ca0.6Cu2O7,24
S-7255,Al1Sr2Ho0.5Ca0.5Cu2O7.05,18
S-2405,Al1Ta3,1.59
S-5207,Al1Th2,0.09
S-8750,Al0.25V0.75,12.5
S-4060,Al1Zr3,0.73
S-11015,Al2.06Cu1,0.65
S-1224,Al20.3V2,1.49
S-8292,Al20.3V20,1.49
S-1537,Al2Au1,0.095
S-5564,Al2C1Mo3,9.49
S-15442,Al2Ca1Si1,5.8
S-12189,Al2Cu1,1.02
S-2087,Al2Ge2U1,1.6
S-11395,La1Al2,2.68
S-9727,Al2Mg2,0.84
S-8296,Al2N1Nb3,1.3
S-11804,Al2Pt1,0.52
S-15511,Al2Si2U1,1.34
S-9000,Al2Th3,2.6
S-4171,Al2Zr1,0.35
S-1815,Al0.6Mg0.4,1.14
S-15741,Al3Nb3,18.4
S-2055,Al3Os1,5.9
S-8218,Al3Th1,0.75
S-4211,Al3Tl1,0.75
S-15631,Al3Yb1,0.94
S-9798,Al5Re24,3.35
S-12939,Al6Re1,1.3
S-11535,Al99.925Mn0.075,0.7
S-7823,Am0.01Si2Th1,2.66
S-10922,Am1,1.12
S-4281,As0.15Bi0.15Nb3Sn0.7,18.07
S-11745,As0.15Ga0.15Nb3Sn0.7,18.01
S-1897,As0.15In0.15Nb3Sn0.7,17.99
S-721,As0.15Nb3Pb0.15Sn0.7,18.05
S-691,As0.15Nb3Sn0.7Tl0.15,17.98
S-2537,As0.15Nb3Sn0.85,17.98
S-6158,As0.1P0.9,9.9
S-15045,As0.25Se0.75Y1,0.78
S-13652,As0.33In1Te0.67,0.85
S-14516,As0.5In1Te0.5,0.44
S-7765,As1,1.82
S-10771,As1Bi1Pb1,9
S-12787,As1Bi1Pb1Sb1,9
S-10260,As1Cr1,1.84
S-1695,As1Ga1,5.44
S-14192,As1Ge1,3.5
S-131,As1Nb3,2.35
S-7755,As0.5Ni0.06Pd0.44,1.39
S-4659,As1Ni0.25Pd0.75,1.47
S-2802,As1Pb1,8.4
S-4342,As1Pd2,1.15
S-4471,As1Pd5,0.46
S-4323,As1Rh1,0.58
S-9034,As1Rh1.4,0.03
S-15729,As1Sn1,3.74
S-5358,As2Cd1Ge1,3.02
S-1945,As2Cd1Sn1,2.29
S-7868,As2Mo1,0.41
S-12297,As2Pd5,0.46
S-12760,As2Sn3,3.5
S-6174,As2Te3,4.4
S-2525,As2W1,0.9
S-1536,As3La4,6.5
S-8452,As3Sn4,1.19
S-7408,Au0.05Zr0.95,1.79
S-5960,Au0.075Sb0.85Te0.075,4.5
S-7837,Au0.07Zr0.93,2.52
S-10456,Au0.098Pd0.02Ga2,1.51
S-14057,Au0.125Sb0.75Te0.125,6.7
S-15929,Au0.12Zr0.88,2.78
S-6254,Au0.14Te0.86,1.7
S-9783,Au0.15Sb0.85,8.1
S-10539,Au0.15Te0.85,1.64
S-9567,Au0.167Pd0.166Te0.667,4.6
S-11338,Au0.16Te0.84,1.71
S-13755,Au0.18Te0.82,1.56
S-5414,Au0.1C1.3Y0.9,10.1
S-14265,Au0.1Sb0.8Te0.1,6
S-14029,Au0.1Sb0.9,7.5
S-9507,Au0.1Zr0.9,2.78
S-6674,Au0.22La0.78,3.67
S-7952,Au0.22Nb0.78,7.6
S-1211,Au0.22Te0.78,1.54
S-3509,Au0.23V0.77,0.66
S-12418,Au0.242Nb0.758,10.56
S-16108,Au0.24La0.76,3.64
S-14875,Au0.24Nb0.76,10.78
S-15180,Au0.24Te0.76,1.72
S-3452,Au0.25Te0.75,1.85
S-4201,Au0.278Ga0.722,1.615
S-1932,Au0.27Tl0.73,2.04
S-10214,Au0.281Ga0.719,1.587
S-528,Au0.28Te0.72,1.96
S-16393,Au0.293Ga0.707,1.63
S-5408,Au0.2B5Mo1.8,4.5
S-15597,Au0.2Ga0.8,1.587
S-7933,Au0.2La0.8,3.97
S-2928,Au0.2Nb0.8,6.45
S-15818,Au0.2Pd1.8In1Y1,1.24
S-11902,Au0.2Sb0.6Te0.2,6.6
S-5842,Au0.2Sn0.8,2.38
S-11048,Au0.2Te0.8,1.48
S-1623,Au0.328Ga0.672,1.668
S-8478,Au0.332Te0.668,1.89
S-7914,Au0.33La0.67,3.2
S-8624,Au0.35Te0.65,1.58
S-4667,Au0.374Te0.626,1.3
S-5648,Au0.388Ga0.612,1.36
S-12237,Au0.3Pd0.033Te0.666,2.6
S-205,Au0.3Te0.7,1.99
S-16150,Au0.41Ge0.59,2.2
S-1589,Au0.427Ga0.573,1.38
S-54,Au0.499Ga0.501,1.17
S-15782,Au0.4Ge0.6,0.32
S-9248,Au0.5Rh0.4Ti0.91,3
S-163,Au0.635Ge0.205Yb0.16,0.34
S-2102,Au64Ge22Yb14,0.67
S-1760,Au0.65Pt0.35Te2,4.1
S-11892,Au0.835Sn0.165,0.59
S-15391,Au0.845Sn0.155,0.53
S-6984,Au0.84In0.16,0.035
S-1200,Au0.855Sn0.145,0.43
S-13946,Au0.85Pd0.15Ga2,1.79
S-1246,Au0.865Sn0.135,0.435
S-10295,Au0.875Sn0.125,0.33
S-10483,Au0.885Sn0.115,0.21
S-4437,Au0.8In0.2,0.28
S-14067,Au0.915In0.085,0.031
S-6279,Au0.91In0.09,0.0423
S-11769,Au0.92Ga0.02In0.06,0.0425
S-6700,Au0.92Ga0.04In0.04,0.0682
S-2833,Au0.92Ga0.068In0.012,0.137
S-14145,Au0.92Ga0.06In0.02,0.13
S-8481,Au0.92Ga0.08,0.168
S-16384,Au0.92In0.08,0.02
S-149,Au0.93In0.07,0.0164
S-9484,Au0.93Pd0.07Ga2,1.77
S-10794,Au0.94In0.06,0.0111
S-13189,Au0.95Ga0.05,0.032
S-1878,Au0.95Pd0.5Ga2,1.75
S-5337,Au0.95Sn0.05,0.047
S-6271,Au0.976Pd0.024Ga2,1.56
S-6675,Au0.978In0.022,0.0005
S-403,Au0.988Pd0.012Ga2,1.25
S-3201,Au0.98Pd0.02Ga2,1.51
S-3389,Au0.9Ga0.1,0.264
S-3206,Au0.9In0.1,0.07
S-14887,Au1.3Pd0.7In1Y1,2.68
S-2521,Au1.6Pd0.4In1Y1,2.64
S-5802,Au1.8Pd0.2In1Y1,2.27
S-1433,Au16.7Pd16.6Te66.7,4.6
S-15749,Au1Be1,2.51
S-16338,Au1Ga1,1.2
S-16290,Au1Ga2,1.29
S-2978,Au1Ga40Mo8,9.4
S-14242,Au0.5Ge0.5,3.15
S-13774,Au1In1,0.5
S-3346,Au1In2,0.22
S-2853,Au1Lu1,0.37
S-4888,Au1Nb3,9.19
S-11056,Au1Pb2,3.76
S-10683,Au1Pb3,4.32
S-5595,Au1Pd1In1Y1,2.3
S-6306,Au1Sb2,0.58
S-16168,Au1Sc1,2
S-8470,Au1Sn1,1.25
S-6709,Au1Ta4.3,0.51
S-1391,Au1Te2,2.05
S-16212,Au1Th2,3.27
S-6092,Au1Tl1,1.92
S-14666,Au1Tl2,4.25
S-7919,Au1V3,2.22
S-3298,Au1Zn3,1.25
S-15852,Au1Zr3,0.92
S-8105,Au25Sb75,6.7
S-13513,Au2Bi1,1.77
S-3038,Au2In1Y1,1.82
S-8532,Au2Pb1,2.85
S-2731,Au30Pd3.3Te66.6,2.6
S-4886,Au3Te5,1.62
S-2926,Au5Ba1,0.4
S-9421,Au5Ca1,0.34
S-8966,Au5Sn1,0.9
S-8776,B0.015C0.985,12
S-12898,B0.039C0.961Si1,1.4
S-6956,B0.03C0.51Mo0.47,12.5
S-12099,B0.048C0.952,6.6
S-10508,B0.057Si0.943,0.34
S-318,B0.67Mg0.33,6.1
S-3502,B0.69Mg0.31,5.7
S-12581,B0.6C0.4Sr0.5Ba1.5Ca2Cu3O9,119
S-1674,B0.978C0.022Si1,1.35
S-12890,B1.92Nb0.86,0
S-6606,B1,6.17
S-14752,B12Li1.7,7.05
S-16206,B12Li2.5,6.62
S-14174,B12Lu1,0.44
S-2555,B12Sc1,0.39
S-3094,B12Y1,4.7
S-3539,B12Yb0.01Zr0.99,4.4
S-5851,Zr1B12,5.99
S-6833,Mo2B1C1,6.32
S-14952,B1Hf1,3.1
S-468,B1I3,1.86
S-6461,B1Mo1,0.5
S-10621,B1Mo1.5Ta0.5,1.82
S-1252,B1Mo1.75Ta0.25,3.05
S-11913,B1Mo1Re1,5.09
S-2083,B1Mo2,5.58
S-7068,B1Re2,3.7
S-12713,B1Re3,4.75
S-14349,B1Sr2Ca2Cu3O9,75
S-10083,B1Sr2Ca3Cu4O11,110
S-9098,B1Sr2Ca4Cu5O13,85
S-14277,B1Ta0.5W1.5,1.94
S-1383,B1Ta1,4
S-15485,B1Ta1.5W0.5,0.25
S-13402,B1Ta2,3.12
S-11896,B1W1.26Re0.74,5.1
S-2723,B1W2,3.19
S-15633,B1Zr1,3.1
S-6730,B2.03Nb1,5.26
S-15466,B2.1Nb1,7.45
S-10932,B2.26Nb1,9.2
S-13197,B2.2Nb1,6.3
S-3536,B2.32Nb1,9.8
S-574,B2.34Nb1,9.16
S-246,B2.4Nb1,9.96
S-1724,B2.5Mo1,7.78
S-361,B2.5Nb1,6.4
S-1968,B2.6Nb1,10.9
S-1528,B2.75Be1,0.76
S-3388,B2.8C97.2,4
S-4817,B2.8Nb1,9.96
S-11674,B2Mg0.5,36
S-11154,B2Mg0.6,36.9
S-4922,B2Mg0.7,37.2
S-14196,B2Mg0.8,38
S-14524,B2Mg0.9,38.2
S-7492,B2Mg0.98,38.4
S-9235,B2Mg0.988Sc0.012,41.4
S-7712,B2Nb0.3,6.1
S-6605,B2Nb0.4,6.57
S-10823,B2Nb0.5,7.56
S-3154,B2Nb0.6,8.04
S-9980,B2Nb0.7,7.96
S-12447,B2Nb0.8,4.55
S-6535,B2Nb0.83,9.77
S-6154,B2Nb0.84,9.1
S-2025,B2Nb0.9,3.64
S-15358,B2Nb1,4.23
S-863,B2Os1,2.14
S-16076,B2Re1,6.3
S-12635,B2Ru1,1.55
S-16096,B2Zr1,5.5
S-12029,B3Be1.09,0.72
S-3507,B3Mo6S8Sn1,15
S-1396,B3Nb1,9.96
S-10337,B3Re7,3.19
S-4899,B0.3Ru0.7,2.99
S-3039,B5Hf0.2Mo1.8,8.4
S-879,B5Hf0.2Nb1.8,3.6
S-3015,B5Mo0.2Nb1.8,4.3
S-10386,B5Mo1.69Zr0.31,11.2
S-8258,B5Mo1.7Nb0.3,8.3
S-7732,B5Mo1.7Ta0.3,7
S-11413,B5Mo1.7Ti0.3,7.1
S-12584,B5Mo1.7V0.3,5.5
S-14996,B5Mo1.8Sc0.2,8.8
S-14650,B5Mo1.9Y0.1,8
S-11878,B5Mo1.9Zr0.1,8.9
S-2611,B5Nb1.8Ru0.2,6
S-8732,B5Nb1.8Th0.2,7
S-4649,B5Nb1.8V0.2,2.5
S-483,B5Nb1.8Zr0.2,5.9
S-13107,B5Nb1.9Sc0.1,6.6
S-11978,B5Nb1.9Ti0.1,4
S-2028,B5Nb1.9Y0.1,9.3
S-2967,B6La1,3.08
S-10853,B6Nd1,3
S-6548,B6Th1,0.74
S-3976,B6Y1,6.66
S-11228,B6Y6,7.5
S-1543,Ba0.13O3W1,1.9
S-15675,Ba0.13W1P3,1.9
S-916,Ba0.14O3W1,1.72
S-3220,Ba0.15La1.85Cu1O4,28.82
S-9626,Ba0.19K0.81Bi1O3,8.4
S-16337,Ba0.1Fe0.9Se0.85,10.6
S-8970,Ba0.1K0.9Fe2As2,7.08
S-11367,Ba0.1Na0.9Fe2As2,18.4
S-14955,Ba0.1Pb3Sr0.9,1.75
S-1350,Ba0.1Sr0.9Ti1O3,0.1
S-1330,Ba0.2K0.8Fe2As2,13.37
S-10160,Ba0.2Mo1S2,5.7
S-5814,Ba0.2Na0.8Fe2As2,18.9
S-17,Ba0.33Hf1N1Cl1,20.2
S-15178,Ba0.33K0.67Bi1O3,0.77
S-10601,Ba0.34K0.66Bi1O3,7
S-5326,Ba0.35K0.65Bi1O3,1.88
S-6353,Ba0.37K0.63Bi1O2.952,8.71
S-1949,Ba0.39K0.61Fe2As2,24.5
S-15591,Ba0.3K0.7Fe2As2,19.7
S-8652,Ba0.3Na0.7Fe2As2,24.1
S-16262,Ba0.445K0.555Bi1O3,15.5
S-4061,Ba0.45K0.55Bi1O2.83,18.95
S-2292,Ba0.45K0.55Bi1O3,12.7
S-8742,Ba0.46K0.56Bi1O2.965,14.8
S-1195,Ba0.47K0.53Bi0.965Pr0.035O3,2.97
S-12543,Ba0.47K0.53Bi0.972Pr0.028O3,4
S-665,Ba0.47K0.53Bi0.979Pr0.021O3,4.5
S-4181,Ba0.47K0.53Bi0.985Pr0.015O3,5.2
S-6910,Ba0.47K0.53Bi0.995Pr0.005O3,9
S-9632,Ba0.47K0.53Bi0.99Pr0.01O3,6.4
S-11476,Ba0.47K0.53Bi1O3,11
S-7074,Ba0.48K0.52Bi1O2.9,21.1
S-7237,Ba0.49K0.51Fe1.79Co0.21As2,15
S-5971,Ba0.4K0.6Bi1O3,7.2
S-01,Ba0.4K0.6Fe2As2,31.2
S-1704,Ba0.4K0.6O3,7
S-5433,Ba0.4Na0.6Fe2As2,28.7
S-12270,Ba0.511K0.489Fe1.772Co0.228As2,22
S-116,Ba0.51K0.49Bi1O2.974,22.2
S-3342,Ba0.51K0.49Bi1O3,17.2
S-12639,Ba0.525K0.475Bi1O2.917,25.9
S-12251,Ba0.52K0.48Bi1O2.93,20.6
S-4928,Ba0.52K0.48Bi1O3,18.7
S-144,Ba0.542K0.458Bi1O3,23.1
S-4324,Ba0.54K0.46Bi1O3,20
S-6521,Ba0.553K0.447Bi1O3,25.5
S-7623,Ba0.557K0.443Bi1O3,25
S-4903,Ba0.55K0.45Bi1O3,24.52
S-6381,Ba0.55K0.45Fe1.95Co0.05As2,32.5
S-10958,Ba0.55K0.45Fe2As2,30.16
S-13619,Ba0.575K0.425Bi1O3,27.3
S-2575,Ba0.57K0.43Bi1O2.983,25.6
S-2224,Ba0.57K0.43Bi1O3,21.2
S-7520,Ba0.584K0.416Bi1O3,28.8
S-13905,Ba0.595K0.405Bi1O3,31.2
S-16030,Ba0.59K0.41Bi1O2.96,20.4
S-3351,Ba0.59K0.41Bi1O3,31
S-15322,Ba0.59K0.41Fe2As2,36.9
S-14037,Ba0.5K0.5Bi1O3,19.66
S-3258,Ba0.5K0.5Fe1.7Co0.3As2,13.56
S-7356,Ba0.5K0.5Fe1.7Ni0.3As2,5.1
S-3008,Ba0.5K0.5Fe1.7Zn0.3As2,7.86
S-9713,Ba0.5K0.5Fe1.84Mn0.16As2,0
S-8838,Ba0.5K0.5Fe1.84Zn0.16As2,34.2
S-801,Ba0.5K0.5Fe1.88Zn0.12As2,33.5
S-6373,Ba0.5K0.5Fe1.8Co0.2As2,19.95
S-3423,Ba0.5K0.5Fe1.8Cu0.2As2,11.83
S-11675,Ba0.5K0.5Fe1.8Ni0.2As2,11.1
S-6838,Ba0.5K0.5Fe1.8Ru0.2As2,36.5
S-7758,Ba0.5K0.5Fe1.92Mn0.08As2,15
S-9850,Ba0.5K0.5Fe1.92Zn0.08As2,34.3
S-6416,Ba0.5K0.5Fe1.96Mn0.04As2,25.85
S-13148,Ba0.5K0.5Fe1.9Co0.1As2,30.31
S-628,Ba0.5K0.5Fe1.9Cu0.1As2,22.29
S-8280,Ba0.5K0.5Fe1.9Mn0.1As2,9.53
S-9227,Ba0.5K0.5Fe1.9Ni0.1As2,26.75
S-3381,Ba0.5K0.5Fe1.9Ru0.1As2,37.14
S-11443,Ba0.5K0.5Fe1.9Zn0.1As2,30.15
S-373,Ba0.5K0.5Fe2As2,34.81
S-6755,Ba0.5K0.5Fe2As2O1,36
S-13180,Ba0.5Na0.5Fe2As2,33
S-8976,Ba0.613K0.387Bi1O3,30.7
S-14559,Ba0.61K0.39Bi1O3,31.5
S-7610,Ba0.625K0.375Bi1O3,28.97
S-7423,Ba0.62K0.38Bi1O3.1,29.5
S-91,Ba0.635K0.365Bi1O3,30.4
S-14423,Ba0.63K0.37Bi1O3,29.79
S-3813,Ba0.63K0.37Fe2As2,39
S-5813,Ba0.644K0.356Bi1O3,29
S-10387,Ba0.64K0.34Fe2As2,39
S-3843,Ba0.64K0.36Bi1O3,28.5
S-982,Ba0.64K0.36Fe2As2,25.6
S-10410,Ba0.64Na0.36Fe2As2,31
S-4883,Ba0.65K0.35Bi1O2.984,27.9
S-12556,Ba0.65K0.35Bi1O2.99,18.7
S-16000,Ba0.65K0.35Bi1O3,28.2
S-639,Ba0.65K0.35Fe2As2,38
S-1220,Ba0.65Na0.35Fe2As2,31.25
S-7853,Ba0.65Rb0.35Fe2As2,35.8
S-5313,Ba0.663K0.337Fe2As2,38
S-15412,Ba0.665K0.335Bi1O2.985,27.3
S-8237,Ba0.66K0.34Bi1O3,28.1
S-15974,Ba0.66K0.34Fe1.8Co0.2As2,19
S-15676,Ba0.677K0.323Fe2As2,37
S-1996,Ba0.67Pt3B2,5.62
S-10931,Ba0.68K0.32Fe1.954Co0.046As2,35
S-14032,Ba0.68K0.32Fe2As2,38
S-10525,Ba0.68Na0.32Fe2As2,23.8
S-12955,Ba0.694K0.306Fe1.826Co0.174As2,18
S-15196,Ba0.698Na0.302Fe2As2,18
S-2678,Ba0.6K0.4Bi0.5Pb0.5O3,7.2
S-5116,Ba0.6K0.4Bi0.6Pb0.4O3,9.2
S-9895,Ba0.6K0.4Bi0.7Pb0.3O3,11.3
S-1576,Ba0.6K0.4Bi0.8Pb0.2O3,14.7
S-10475,Ba0.6K0.4Bi0.925Pr0.075O3,4.5
S-12319,Ba0.6K0.4Bi0.933Pr0.067O3,11.1
S-2597,Ba0.6K0.4Bi0.955Pr0.045O3,14.4
S-3875,Ba0.6K0.4Bi0.969Pr0.031O3,18.4
S-1569,Ba0.6K0.4Bi0.979Pr0.021O3,23.5
S-1748,Ba0.6K0.4Bi0.99Pr0.01O3,26.4
S-2273,Ba0.6K0.4Bi0.9Pb0.1O3,21.5
S-8625,Ba0.6K0.4Bi1O2.926,27.6
S-9922,Ba0.6K0.4Bi1O2.977,29
S-3923,Ba0.6K0.4Fe2As2,36.37
S-1615,Ba0.6K0.4O3,30.7
S-5383,Ba0.6Na0.4Fe2As2,33.97
S-8506,Ba0.6Rb0.4Bi1O3,29
S-9502,Ba0.6Rb0.4Fe2As2,34
S-15389,Ba0.6Rb0.4Ti2Sb2O1,5.71
S-13187,Ba0.72K0.28Fe2As2,33.12
S-7694,Ba0.737K0.263Fe2As2,24
S-13526,Ba0.74K0.26Fe2As2,32
S-12194,Ba0.75K0.25Fe2As2,28.26
S-8033,Ba0.75Na0.25Ti2Sb2O1,5.02
S-4991,Ba0.76K0.24Fe2As2,26
S-12791,Ba0.76La0.24Fe2As2,5.02
S-6609,Ba0.76Na0.24Fe2As2,15.9
S-8991,Ba0.779Na0.221Fe2As2,8
S-14932,Ba0.77K0.23Bi1O3,28
S-544,Ba0.788K0.212Fe2As2,19
S-10308,Ba0.78K0.22Fe2As2,24.15
S-14537,Ba0.797K0.203Fe2As2,17
S-2737,Ba0.79K0.21Fe2As2,18
S-7808,Ba0.7K0.3Bi0.7Pb0.3O3,14.6
S-1033,Ba0.7K0.3Bi1O3,29.9
S-10239,Ba0.7K0.3Fe1.66Co0.34As2,12
S-371,Ba0.7K0.3Fe1.72Co0.28As2,12
S-14112,Ba0.7K0.3Fe2As2,36.85
S-4939,Ba0.7K0.6Bi1O3,29.35
S-1926,Ba0.7Na0.3Fe2As2,24.8
